SYMBOLS
ASML
AAPL
SOXL
WMT
MA
MSFT
NKE
INTC
BABA
BYND
BLK
SKY
GM
AXP
ARKK
PYPL
RY
FCN
ENPH
NCLH
RCL
OVID
LK
